Date,rtu_power,out_temp_F,office_zone_temps_avg_F,rtu_cooling_pid,rtu_supply_air_static_pressure_inchwc,rtu_supply_air_temp_F,trane_vavs_air_flow_cfm,jci_vavs_air_flow_cfm
6/13/2022 1:47,,,,,,,0,324
6/13/2022 1:47,,57.9,,,,,,
6/13/2022 1:47,,,73.5,,,,,
6/13/2022 1:47,,,,0,0.0319,69.8,,
6/13/2022 1:47,359,,,,,,,
6/13/2022 1:48,,,,,,,0,333
6/13/2022 1:48,,57.8,,,,,,
6/13/2022 1:48,,,73.5,,,,,
6/13/2022 1:48,,,,0,0.0319,69.8,,
6/13/2022 1:48,361,,,,,,,
6/13/2022 1:49,,,,,,,0,333
6/13/2022 1:49,,57.8,,,,,,
6/13/2022 1:49,,,73.5,,,,,
6/13/2022 1:49,,,,0,0.0317,69.7,,
6/13/2022 1:49,360,,,,,,,
6/13/2022 1:50,,,,,,,0,327
6/13/2022 1:50,,57.8,,,,,,
6/13/2022 1:50,,,73.5,,,,,
6/13/2022 1:50,,,,0,0.0319,69.7,,
6/13/2022 1:50,359,,,,,,,
6/13/2022 1:51,,,,,,,0,333
6/13/2022 1:51,,57.8,,,,,,
6/13/2022 1:51,,,73.4,,,,,
6/13/2022 1:51,,,,0,0.0317,69.8,,
6/13/2022 1:51,361,,,,,,,
6/13/2022 1:52,,,,,,,0,333
6/13/2022 1:52,,57.7,,,,,,
6/13/2022 1:52,,,73.4,,,,,
6/13/2022 1:52,,,,0,0.0319,69.8,,
6/13/2022 1:52,360,,,,,,,
6/13/2022 1:53,,,,,,,0,326
6/13/2022 1:53,,57.7,,,,,,
6/13/2022 1:53,,,73.4,,,,,
6/13/2022 1:53,,,,0,0.0319,69.7,,
6/13/2022 1:53,361,,,,,,,
6/13/2022 1:54,,,,,,,0,333
6/13/2022 1:54,,57.7,,,,,,
6/13/2022 1:54,,,73.4,,,,,
6/13/2022 1:54,,,,0,0.0319,69.7,,
6/13/2022 1:54,361,,,,,,,
6/13/2022 1:55,,,,,,,0,348
6/13/2022 1:55,,57.7,,,,,,
6/13/2022 1:55,,,73.4,,,,,
6/13/2022 1:55,,,,0,0.0317,69.6,,
6/13/2022 1:55,360,,,,,,,
6/13/2022 1:56,,,,,,,0,317
6/13/2022 1:56,,57.7,,,,,,
6/13/2022 1:56,,,73.4,,,,,
6/13/2022 1:56,,,,0,0.0319,69.6,,
6/13/2022 1:56,361,,,,,,,
6/13/2022 1:57,,,,,,,0,325
6/13/2022 1:57,,57.6,,,,,,
6/13/2022 1:57,,,73.4,,,,,
6/13/2022 1:57,,,,0,0.0319,69.6,,
6/13/2022 1:57,359,,,,,,,
6/13/2022 1:58,,,,,,,0,326
6/13/2022 1:58,,57.6,,,,,,
6/13/2022 1:58,,,73.4,,,,,
6/13/2022 1:58,,,,0,0.0317,69.5,,
6/13/2022 1:58,362,,,,,,,
6/13/2022 1:59,,,,,,,0,326
6/13/2022 1:59,,57.6,,,,,,
6/13/2022 1:59,,,73.4,,,,,
6/13/2022 1:59,,,,0,0.0317,69.6,,
6/13/2022 1:59,362,,,,,,,
6/13/2022 2:00,,,,,,,0,326
6/13/2022 2:00,,57.5,,,,,,
6/13/2022 2:00,,,73.4,,,,,
6/13/2022 2:00,,,,0,0.0319,69.6,,
6/13/2022 2:00,361,,,,,,,
6/13/2022 2:01,,,,,,,0,333
6/13/2022 2:01,,57.5,,,,,,
6/13/2022 2:01,,,73.4,,,,,
